,id,room_type,host_id,host_since,host_response_rate,reviews_per_month,review_scores_value,review_scores_location,review_scores_communication,review_scores_checkin,review_scores_cleanliness,review_scores_rating,price,cleaning_fee,zipcode,number_of_reviews
347,201257,Entire home/apt,984209,2011-08-17,100%,0.87,10.0,10.0,10.0,10.0,10.0,97.0,160.0,$50.00,75011,75
348,203116,Entire home/apt,995645,2011-08-20,94%,1.25,9.0,10.0,10.0,10.0,9.0,94.0,172.0,$100.00,75015,100
352,208080,Entire home/apt,1024111,2011-08-26,100%,2.19,9.0,10.0,10.0,10.0,9.0,94.0,160.0,$50.00,75005,191
354,212853,Entire home/apt,1097498,2011-09-01,100%,1.96,9.0,10.0,10.0,10.0,9.0,94.0,129.0,$55.00,75018,172
356,213667,Entire home/apt,892387,2011-07-30,100%,0.85,9.0,10.0,9.0,9.0,9.0,91.0,110.0,$60.00,75001,59
358,214046,Entire home/apt,438828,2011-03-13,100%,1.96,9.0,10.0,10.0,10.0,9.0,94.0,195.0,$50.00,75004,172
362,215638,Entire home/apt,1113009,2011-09-05,100%,2.41,9.0,10.0,9.0,9.0,9.0,87.0,70.0,$55.00,75002,208
363,215756,Entire home/apt,1113790,2011-09-05,100%,0.51,9.0,10.0,10.0,9.0,8.0,91.0,125.0,$60.00,75005,41
372,220276,Entire home/apt,1141263,2011-09-11,100%,0.2,9.0,9.0,10.0,10.0,9.0,96.0,80.0,$20.00,75018,16
373,221754,Entire home/apt,1150845,2011-09-13,100%,2.43,9.0,9.0,10.0,10.0,9.0,95.0,85.0,$40.00,75010,212
374,221844,Entire home/apt,1138741,2011-09-10,100%,0.24,9.0,9.0,9.0,9.0,8.0,86.0,90.0,$25.00,75011,21
375,222369,Entire home/apt,1153405,2011-09-13,100%,0.07,10.0,10.0,10.0,10.0,10.0,90.0,99.0,$36.00,75017,6
376,222707,Entire home/apt,1156650,2011-09-14,75%,0.39,10.0,10.0,10.0,10.0,10.0,97.0,179.0,$55.00,75009,34
